Step,Tumor Cells,Necrotic Cells,Growth Rate
0,1061728395.0617284,0.0,0.0
1,1037037037.037037,24691358.02469136,-0.023255813953488358
2,1024691358.0246913,49382716.04938272,-0.011904761904761897
3,1012345679.0123457,74074074.07407407,-0.012048192771084331
4,1037037037.037037,86419753.08641976,0.02439024390243901
5,1061728395.0617284,98765432.09876543,0.023809523809523794
6,1074074074.074074,111111111.1111111,0.011627906976744179
7,1086419753.0864198,123456790.12345679,0.011494252873563322
8,1148148148.148148,123456790.12345679,0.05681818181818167
9,1135802469.1358025,148148148.14814815,-0.0107526881720429
10,1148148148.148148,148148148.14814815,0.010869565217391193
11,1098765432.0987654,222222222.2222222,-0.04301075268817202
12,1098765432.0987654,259259259.25925925,0.0
13,1111111111.1111112,259259259.25925925,0.011235955056179877
14,1123456790.1234567,271604938.27160496,0.011111111111110997
15,1074074074.074074,333333333.3333333,-0.04395604395604393
16,1086419753.0864198,370370370.3703704,0.011494252873563322
17,1074074074.074074,395061728.39506173,-0.011363636363636466
18,1049382716.0493827,444444444.4444444,-0.022988505747126423
19,1074074074.074074,469135802.4691358,0.023529411764705868
20,1098765432.0987654,481481481.4814815,0.022988505747126423
21,1098765432.0987654,493827160.49382716,0.0
22,1086419753.0864198,506172839.50617284,-0.01123595505617966
23,1098765432.0987654,543209876.5432099,0.011363636363636246
24,1111111111.1111112,580246913.5802469,0.011235955056179877
25,1123456790.1234567,580246913.5802469,0.011111111111110997
26,1160493827.1604939,580246913.5802469,0.03296703296703306
27,1197530864.197531,592592592.5925926,0.03191489361702136
28,1209876543.2098765,617283950.6172839,0.010309278350515358
29,1197530864.197531,654320987.654321,-0.010204081632652956
30,1185185185.1851852,679012345.6790123,-0.010309278350515556
31,1185185185.1851852,679012345.6790123,0.0
32,1185185185.1851852,691358024.6913581,0.0
33,1172839506.1728394,716049382.7160494,-0.010416666666666761
34,1160493827.1604939,740740740.7407408,-0.010526315789473576
35,1172839506.1728394,753086419.7530864,0.010638297872340316
36,1197530864.197531,765432098.7654321,0.021052631578947562
37,1234567901.2345679,790123456.7901235,0.03092783505154627
38,1246913580.2469137,814814814.8148148,0.01000000000000009
39,1234567901.2345679,839506172.8395061,-0.00990099009900999
40,1209876543.2098765,888888888.8888888,-0.01999999999999999
41,1197530864.197531,913580246.9135803,-0.010204081632652956
42,1197530864.197531,938271604.9382716,0.0
43,1185185185.1851852,962962962.962963,-0.010309278350515556
44,1197530864.197531,987654320.9876543,0.010416666666666761
45,1197530864.197531,1000000000.0,0.0
46,1197530864.197531,1037037037.037037,0.0
47,1234567901.2345679,1037037037.037037,0.03092783505154627
48,1234567901.2345679,1061728395.0617284,0.0
49,1259259259.2592592,1061728395.0617284,0.01999999999999999
50,1222222222.2222223,1123456790.1234567,-0.02941176470588224
51,1209876543.2098765,1160493827.1604939,-0.010101010101010192
52,1209876543.2098765,1185185185.1851852,0.0
53,1197530864.197531,1222222222.2222223,-0.010204081632652956
54,1185185185.1851852,1246913580.2469137,-0.010309278350515556
55,1209876543.2098765,1246913580.2469137,0.020833333333333322
56,1246913580.2469137,1283950617.2839506,0.030612244897959263
57,1283950617.2839506,1308641975.308642,0.029702970297029587
58,1296296296.2962964,1333333333.3333333,0.009615384615384703
59,1296296296.2962964,1358024691.3580246,0.0
60,1320987654.3209877,1382716049.3827162,0.019047619047619035
61,1358024691.3580246,1382716049.3827162,0.028037383177569986
62,1370370370.3703704,1419753086.419753,0.009090909090909174
63,1382716049.3827162,1444444444.4444444,0.00900900900900909
64,1419753086.419753,1481481481.4814816,0.02678571428571418
65,1395061728.3950617,1530864197.5308642,-0.017391304347826077
66,1382716049.3827162,1555555555.5555556,-0.008849557522123803
67,1382716049.3827162,1567901234.5679011,0.0
68,1407407407.4074075,1580246913.580247,0.017857142857142846
69,1382716049.3827162,1641975308.6419754,-0.017543859649122796
70,1395061728.3950617,1654320987.654321,0.008928571428571336
71,1395061728.3950617,1703703703.7037036,0.0
72,1432098765.4320989,1716049382.7160494,0.02654867256637175
73,1432098765.4320989,1728395061.728395,0.0
74,1407407407.4074075,1753086419.7530863,-0.017241379310344817
75,1407407407.4074075,1777777777.7777777,0.0
76,1407407407.4074075,1802469135.8024693,0.0
77,1419753086.419753,1814814814.8148148,0.008771929824561313
78,1358024691.3580246,1876543209.8765433,-0.04347826086956528
79,1345679012.345679,1925925925.925926,-0.009090909090908999
80,1358024691.3580246,1962962962.9629629,0.00917431192660541
81,1382716049.3827162,1962962962.9629629,0.018181818181818347
82,1382716049.3827162,2000000000.0,0.0
83,1370370370.3703704,2012345679.0123458,-0.008928571428571508
84,1333333333.3333333,2061728395.0617285,-0.027027027027027098
85,1358024691.3580246,2074074074.074074,0.018518518518518507
86,1333333333.3333333,2111111111.1111112,-0.01818181818181817
87,1333333333.3333333,2135802469.1358025,0.0
88,1370370370.3703704,2135802469.1358025,0.027777777777777853
89,1358024691.3580246,2209876543.2098765,-0.00900900900900909
90,1370370370.3703704,2222222222.2222223,0.009090909090909174
91,1382716049.3827162,2234567901.234568,0.00900900900900909
92,1370370370.3703704,2259259259.259259,-0.008928571428571508
93,1382716049.3827162,2296296296.296296,0.00900900900900909
94,1358024691.3580246,2320987654.3209877,-0.017857142857143016
95,1345679012.345679,2345679012.345679,-0.009090909090908999
96,1320987654.3209877,2395061728.395062,-0.018348623853210996
97,1358024691.3580246,2407407407.4074073,0.028037383177569986
98,1333333333.3333333,2444444444.4444447,-0.01818181818181817
99,1345679012.345679,2456790123.45679,0.009259259259259344
100,1345679012.345679,2481481481.4814816,0.0
101,1358024691.3580246,2493827160.4938273,0.00917431192660541
102,1358024691.3580246,2518518518.5185184,0.0
103,1283950617.2839506,2592592592.5925927,-0.054545454545454515
104,1259259259.2592592,2629629629.6296296,-0.01923076923076922
105,1271604938.271605,2654320987.654321,0.00980392156862754
106,1283950617.2839506,2666666666.6666665,0.00970873786407757
107,1308641975.308642,2691358024.691358,0.01923076923076922
